id,title,old_filename,file_name,volume,year
168345,Cousin Mary,168345.pdf,Cousin Mary.pdf,Vol2,1974
13976,Crazeology,013976.pdf,Crazeology.pdf,Vol2,1950
105907,Crazy She Calls Me,105907.pdf,Crazy She Calls Me.pdf,Vol3,1949
171240,Crazy,171240.pdf,Crazy.pdf,Vol3,1961
996621,Crepuscule,996621.pdf,Crepuscule.pdf,Vol2,1941
171595,Crescent,171595.pdf,Crescent.pdf,Vol1,1977
17896,Criss Cross,017896.pdf,Criss Cross.pdf,Vol2,1962
30117,Crosscurrent,030117.pdf,Crosscurrent.pdf,Vol2,
173660,Cry Me A River,173660.pdf,Cry Me A River.pdf,Vol3,1953
12872,Crystal Silence,012872.pdf,Crystal Silence.pdf,Vol1,1972
176310,D Natural Blues,176310.pdf,D Natural Blues.pdf,Vol1,1961
176315,Daahoud,176315.pdf,Daahoud.pdf,Vol1,1962
6117,Dance Of The Infidels,006117.pdf,Dance Of The Infidels.pdf,Vol2,1972
179741,Dancing On The Ceiling,179741.pdf,Dancing On The Ceiling.pdf,Vol1,1931
181450,Dark Eyes,181450.pdf,Dark Eyes.pdf,Vol3,
182590,Darn That Dream,182590.pdf,Darn That Dream.pdf,Vol1,1939
182595,Dat Dere,182595.pdf,Dat Dere.pdf,Vol2,1960
182803,Day By Day,182803.pdf,Day By Day.pdf,Vol2,1945
1187,Day Dream,001187.pdf,Day Dream.pdf,Vol3,1940
60417,Day Waves,060417.pdf,Day Waves.pdf,Vol1,1972
59296,Days And Nights Waiting,059296.pdf,Days And Nights Waiting.pdf,Vol1,1967
59338,Dear Old Stockholm,059338.pdf,Dear Old Stockholm.pdf,Vol1,1800
186960,Dearly Beloved,186960.pdf,Dearly Beloved.pdf,Vol1,1942
187830,Dedicated To You,187830.pdf,Dedicated To You.pdf,Vol1,1936
55620,Deluge,055620.pdf,Deluge.pdf,Vol1,1964
39831,Desafinado,039831.pdf,Desafinado.pdf,Vol1,1959
60419,Desert Air,060419.pdf,Desert Air.pdf,Vol1,1977
12961,Detour Ahead,012961.pdf,Detour Ahead.pdf,Vol1,1948
190900,Dewey Square,190900.pdf,Dewey Square.pdf,Vol2,1958
41415,Dexter Rides Again,041415.pdf,Dexter Rides Again.pdf,Vol2,1950
60420,Dexterity,060420.pdf,Dexterity.pdf,Vol1,1960
957991,Didn't We,957991.pdf,Didn't We.pdf,Vol2,1966
983327,Dig,983327.pdf,Dig.pdf,Vol3,1964
996625,Diminushing,996625.pdf,Diminushing.pdf,Vol3,1958
194301,Dinah,194301.pdf,Dinah.pdf,Vol2,1925
194350,Dindi,194350.pdf,Dindi.pdf,Vol2,1965
195980,Dizzy Atmosphere,195980.pdf,Dizzy Atmosphere.pdf,Vol1,1944
197500,Django,197500.pdf,Django.pdf,Vol1,1955
197700,Do I Love You Because You're Beautiful?,197700.pdf,Do I Love You Because You're Beautiful.pdf,Vol2,1957
198370,Do Nothin' Till You Hear From Me,198370.pdf,Do Nothin' Till You Hear From Me.pdf,Vol2,1943
198550,Do You Know What It Means To Miss New Orleans,198550.pdf,Do You Know What It Means To Miss New Orleans.pdf,Vol2,1946
58819,Doin' The Pig,058819.pdf,Doin' The Pig.pdf,Vol1,1969
55623,Dolores,055623.pdf,Dolores.pdf,Vol1,1967
15632,Dolphin Dance,015632.pdf,Dolphin Dance.pdf,Vol1,1966
