id	file_name	title	title_playlist	playlist	composer	year	year_truncated	tonality	tune_key	tune_mode	structure	num_bars	time_signature	cycle_fifths_order	style	musicbrainz_id	wikidata_id	wikidata_allmusic	wiki_link	wikidata_description	lyricist
28	dataset/jazz1350/A Weaver Of Dreams.xml	A Weaver Of Dreams	A Weaver Of Dreams [jazz1350]	jazz1350	Victor Young	1979.0	1979.0	C major	C	major	ABAC	32.0	4/4	0.0	Medium Swing	0a09d3fe-238f-40e4-aaa9-e57a8a806a42					
29	dataset/jazz1350/A Wonderful Day Like Today.xml	A Wonderful Day Like Today	A Wonderful Day Like Today [jazz1350]	jazz1350	Anthony Newley	1964.0	1964.0	Eb major	Eb	major	AABA	68.0	4/4	-3.0	Up Tempo Swing	8acc8960-f925-417e-937a-e15fa7fd8e59					
29	dataset/jazz1350/A Wonderful Day Like Today.xml	A Wonderful Day Like Today	A Wonderful Day Like Today [jazz1350]	jazz1350	Leslie Bricusse	1964.0	1964.0	Eb major	Eb	major	AABA	68.0	4/4	-3.0	Up Tempo Swing	8acc8960-f925-417e-937a-e15fa7fd8e59					
30	dataset/jazz1350/Ablution.xml	Ablution	Ablution [jazz1350]	jazz1350	Lennie Tristano	1980.0	1980.0	Ab major	Ab	major	ABCD	36.0	4/4	-4.0	Medium Swing						
31	dataset/jazz1350/Ac-Cent-Tchu-Ate The Positive.xml	Ac-Cent-Tchu-Ate The Positive	Ac-Cent-Tchu-Ate The Positive [jazz1350]	jazz1350	Harold Arlen	1944.0	1944.0	F major	F	major	AABA	32.0	4/4	-1.0	Medium Swing	5038f3b8-0451-36dc-8cc8-cd6cc6fb4683	Q938338	mc0002457872	https://en.wikipedia.org/wiki/Ac-Cent-Tchu-Ate_the_Positive	"original song composed by Harold Arlen, lyrics by Johnny Mercer; from the 1944 film ""Here Come the Waves"""	Johnny Mercer
32	dataset/jazz1350/Across The Alley From The Alamo.xml	Across The Alley From The Alamo	Across The Alley From The Alamo [jazz1350]	jazz1350	Joe Greene	1946.0	1946.0	F major	F	major	AABA	32.0	4/4	-1.0	Medium Swing	06fd55e6-380f-371b-806d-98b39b60f3ae					Joe Greene
33	dataset/jazz1350/Adam's Apple.xml	Adam's Apple	Adam's Apple [jazz1350]	jazz1350	Wayne Shorter	1968.0	1968.0	Ab major	Ab	major	A	24.0	4/4	-4.0	Even 8ths	577b6dfa-afcd-357b-9f11-5fe7a699a201					
34	dataset/jazz1350/African Queen, The.xml	African Queen, The	African Queen, The [jazz1350]	jazz1350	Horace Silver	1965.0	1965.0	C minor	C	minor	AAB	22.0	4/4	-3.0	Latin	e5659465-c6ba-3ee8-9552-26228d0f4b69					
35	dataset/jazz1350/Afro Blue.xml	Afro Blue	Afro Blue [jazz1350]	jazz1350	Mongo Santamaría	1959.0	1959.0	F minor	F	minor	A	16.0	3/4	-4.0	Waltz	c9740ef0-62c7-3b69-9a83-9eac816a7d66					
36	dataset/jazz1350/Afro Centric.xml	Afro Centric	Afro Centric [jazz1350]	jazz1350	Joe Henderson			C# major	C#	major	A	26.0	4/4	-5.0	Up Tempo Swing						
37	dataset/jazz1350/After You've Gone.xml	After You've Gone	After You've Gone [jazz1350]	jazz1350	Turner Layton	1918.0	1918.0	Bb major	Bb	major	ABAC	40.0	4/4	-2.0	Up Tempo Swing	b2406af1-d25b-3b15-93ed-20feff58166e	Q127138		https://en.wikipedia.org/wiki/After_You%27ve_Gone_(song)	song	Henry Creamer
38	dataset/jazz1350/After You.xml	After You	After You [jazz1350]	jazz1350	Cole Porter	1932.0	1932.0	F major	F	major	ABC	32.0	4/4	-1.0	Ballad	ce3e0eab-f52f-446d-9d77-70e6b5246f37					Cole Porter
39	dataset/jazz1350/Afternoon In Paris.xml	Afternoon In Paris	Afternoon In Paris [jazz1350]	jazz1350	John Lewis	1955.0	1955.0	C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	0ea0ac3c-faa7-47db-8eb4-d33f78d145d3	Q4690787		https://en.wikipedia.org/wiki/Afternoon_in_Paris	jazz song	
40	dataset/jazz1350/Again.xml	Again	Again [jazz1350]	jazz1350	Lionel Newman			G major	G	major	AABC	32.0	4/4	1.0	Ballad	0010e4d4-5ba5-41d2-909a-0c1a7b9dfb03					Dorcas Cochran
41	dataset/jazz1350/Agua De Beber.xml	Agua De Beber	Agua De Beber [jazz1350]	jazz1350	Antônio Carlos Jobim	1961.0	1961.0	D minor	D	minor	introABC	40.0	4/4	-1.0	Bossa Nova	8bbf6da7-aab1-394b-9bb6-ddfea5477fa1					Vinicius de Moraes
42	dataset/jazz1350/Ain't Misbehavin'.xml	Ain't Misbehavin'	Ain't Misbehavin' [jazz1350]	jazz1350	Fats Waller	1929.0	1929.0	C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	56457469-73b4-3564-9e42-8aeaf21256fb	Q406268		https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(song)	1929 song	Andy Razaf
42	dataset/jazz1350/Ain't Misbehavin'.xml	Ain't Misbehavin'	Ain't Misbehavin' [jazz1350]	jazz1350	Harry Brooks	1929.0	1929.0	C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	56457469-73b4-3564-9e42-8aeaf21256fb	Q406268		https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(song)	1929 song	Andy Razaf
43	dataset/jazz1350/Ain't She Sweet.xml	Ain't She Sweet	Ain't She Sweet [jazz1350]	jazz1350	Milton Ager	1927.0	1927.0	Eb major	Eb	major	AABA	32.0	4/4	-3.0	Medium Up Swing	f6babd02-0629-3d3b-b93b-fdfbc2c08188	Q406297	mc0002415634	https://en.wikipedia.org/wiki/Ain%27t_She_Sweet	1927 song by Milton Ager and Jack Yellen	Jack Yellen
44	dataset/jazz1350/Airegin.xml	Airegin	Airegin [jazz1350]	jazz1350	Sonny Rollins	1963.0	1963.0	F minor	F	minor	ABAC	36.0	4/4	-4.0	Up Tempo Swing	e5413e11-6aec-3b13-8989-8a531202fbd4	Q2828704		https://en.wikipedia.org/wiki/Airegin	standard de jazz	
45	dataset/jazz1350/Airmail Special.xml	Airmail Special	Airmail Special [jazz1350]	jazz1350	Charlie Christian	1941.0	1941.0	C major	C	major	introAAB	40.0	4/4	0.0	Medium Up Swing						
46	dataset/jazz1350/Aisha.xml	Aisha	Aisha [jazz1350]	jazz1350	McCoy Tyner	1961.0	1961.0	A minor	A	minor	AABA	34.0	4/4	0.0	Ballad	1e022be1-5ef6-38b3-94ad-2b3e0ae6760c					
47	dataset/jazz1350/Alexander's Ragtime Band.xml	Alexander's Ragtime Band	Alexander's Ragtime Band [jazz1350]	jazz1350	Irving Berlin	1911.0	1911.0	F major	F	major	ABAC	32.0	4/4	-1.0	Medium Swing	87cff773-9735-32dc-a591-6edb14edb632	Q1293813		https://en.wikipedia.org/wiki/Alexander%27s_Ragtime_Band	1911 song composed by Irving Berlin	Irving Berlin
48	dataset/jazz1350/Alfie's Theme.xml	Alfie's Theme	Alfie's Theme [jazz1350]	jazz1350	Sonny Rollins	1966.0	1966.0	Bb minor	Bb	minor	AABA	32.0	4/4	-5.0	Medium Swing	1b31ef19-92db-43e7-91e7-43c5f067d930					
49	dataset/jazz1350/Alfie.xml	Alfie	Alfie [jazz1350]	jazz1350	Burt Bacharach	1966.0	1966.0	Bb major	Bb	major	AABA	40.0	4/4	-2.0	Ballad	df8579f1-38ec-3790-8fee-efcf91c8a54e	Q1895177		https://en.wikipedia.org/wiki/Alfie_(Burt_Bacharach_song)	1966 single by Cilla Black	Hal David
50	dataset/jazz1350/Alice In Wonderland.xml	Alice In Wonderland	Alice In Wonderland [jazz1350]	jazz1350	Sammy Fain	1951.0	1951.0	C major	C	major	AAB	48.0	3/4	0.0	Waltz	802b3db2-83b8-3d46-9d2a-5e30ffbc68bb	Q16238542		https://en.wikipedia.org/wiki/Alice_in_Wonderland_(song)	"song from Disney's ""Alice in Wonderland"" (1951)"	Bob Hilliard
