id	file_name	style	sections	num_bars	max_num_chords_per_bar	title	file_path	year	playlist	title_playlist	tune_key	tune_mode	beats	beat_time	cycle_fifths_order	year_truncated	structure	time_signature	tonality	id	musicbrainz_id	musicbrainz_composer	musicbrainz_lyricist	musicbrainz_type	wikidata_id	wikidata_description	wikidata_allmusic	wiki_link	composer
32	dataset/jazz1350/Across The Alley From The Alamo.xml	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Across The Alley From The Alamo	dataset/jazz1350/Across The Alley From The Alamo.xml	1946.0	jazz1350	Across The Alley From The Alamo [jazz1350]	F	major	4.0	4.0	-1.0	1946.0	AABA	4/4	F major	32	06fd55e6-380f-371b-806d-98b39b60f3ae	['Joe Greene']	['Joe Greene']	Song					Joe Greene
33	dataset/jazz1350/Adam's Apple.xml	Even 8ths	{'1': 'A'}	24.0	1.0	Adam's Apple	dataset/jazz1350/Adam's Apple.xml	1968.0	jazz1350	Adam's Apple [jazz1350]	Ab	major	4.0	4.0	-4.0	1968.0	A	4/4	Ab major	33	577b6dfa-afcd-357b-9f11-5fe7a699a201	['Wayne Shorter']	[]						Wayne Shorter
34	dataset/jazz1350/African Queen, The.xml	Latin	{'1': 'A', '9': 'A', '17': 'B'}	22.0	2.0	African Queen, The	dataset/jazz1350/African Queen, The.xml	1965.0	jazz1350	African Queen, The [jazz1350]	C	minor	4.0	4.0	-3.0	1965.0	AAB	4/4	C minor	35	e5659465-c6ba-3ee8-9552-26228d0f4b69	['Horace Silver']	[]	Song					Horace Silver
35	dataset/jazz1350/Afro Blue.xml	Waltz	{'1': 'A'}	16.0	2.0	Afro Blue	dataset/jazz1350/Afro Blue.xml	1959.0	jazz1350	Afro Blue [jazz1350]	F	minor	3.0	4.0	-4.0	1959.0	A	3/4	F minor	36	c9740ef0-62c7-3b69-9a83-9eac816a7d66	['Mongo Santamaría']	[]	Song					Mongo Santamaría
36	dataset/jazz1350/Afro Centric.xml	Up Tempo Swing	{'1': 'A'}	26.0	1.0	Afro Centric	dataset/jazz1350/Afro Centric.xml		jazz1350	Afro Centric [jazz1350]	C#	major	4.0	4.0	-5.0		A	4/4	C# major	37		[]	[]						Joe Henderson
37	dataset/jazz1350/After You've Gone.xml	Up Tempo Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	40.0	2.0	After You've Gone	dataset/jazz1350/After You've Gone.xml	1918.0	jazz1350	After You've Gone [jazz1350]	Bb	major	4.0	4.0	-2.0	1918.0	ABAC	4/4	Bb major	38	b2406af1-d25b-3b15-93ed-20feff58166e	['Turner Layton']	['Henry Creamer']	Song	Q127138	song		https://en.wikipedia.org/wiki/After_You%27ve_Gone_(song)	Turner Layton
38	dataset/jazz1350/After You.xml	Ballad	{'1': 'A', '15': 'B', '25': 'C'}	32.0	2.0	After You	dataset/jazz1350/After You.xml	1932.0	jazz1350	After You [jazz1350]	F	major	4.0	4.0	-1.0	1932.0	ABC	4/4	F major	39	ce3e0eab-f52f-446d-9d77-70e6b5246f37	['Cole Porter']	['Cole Porter']	Song					Cole Porter
39	dataset/jazz1350/Afternoon In Paris.xml	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Afternoon In Paris	dataset/jazz1350/Afternoon In Paris.xml	1955.0	jazz1350	Afternoon In Paris [jazz1350]	C	major	4.0	4.0	0.0	1955.0	AABA	4/4	C major	40	0ea0ac3c-faa7-47db-8eb4-d33f78d145d3	['John Lewis']	[]		Q4690787	jazz song		https://en.wikipedia.org/wiki/Afternoon_in_Paris	John Lewis
40	dataset/jazz1350/Again.xml	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'C'}	32.0	2.0	Again	dataset/jazz1350/Again.xml		jazz1350	Again [jazz1350]	G	major	4.0	4.0	1.0		AABC	4/4	G major	41	0010e4d4-5ba5-41d2-909a-0c1a7b9dfb03	['Lionel Newman']	['Dorcas Cochran']	Song					Lionel Newman
41	dataset/jazz1350/Agua De Beber.xml	Bossa Nova	{'1': 'intro', '9': 'A', '25': 'B', '33': 'C'}	40.0	2.0	Agua De Beber	dataset/jazz1350/Agua De Beber.xml	1961.0	jazz1350	Agua De Beber [jazz1350]	D	minor	4.0	4.0	-1.0	1961.0	introABC	4/4	D minor	42	8bbf6da7-aab1-394b-9bb6-ddfea5477fa1	['Antônio Carlos Jobim']	['Vinicius de Moraes']	Song					Antônio Carlos Jobim
